ImagePath,Class,Confidence
detected_frames\frame_365022664356000.jpg,car,0.84
detected_frames\frame_365022728670900.jpg,car,0.92
detected_frames\frame_365022740799800.jpg,car,0.90
detected_frames\frame_365022808684600.jpg,car,0.92
detected_frames\frame_365022821133100.jpg,car,0.83
detected_frames\frame_365022887186000.jpg,car,0.93
detected_frames\frame_365022896236000.jpg,car,0.84
detected_frames\frame_365022963105100.jpg,car,0.95
detected_frames\frame_365022970068800.jpg,car,0.88
detected_frames\frame_365022978672200.jpg,car,0.36
detected_frames\frame_365023039148800.jpg,car,0.92
detected_frames\frame_365023051169900.jpg,car,0.81
detected_frames\frame_365023114680600.jpg,car,0.94
detected_frames\frame_365023122095000.jpg,car,0.77
detected_frames\frame_365023187287900.jpg,car,0.96
detected_frames\frame_365023199222900.jpg,car,0.85
detected_frames\frame_365023211871300.jpg,car,0.34
detected_frames\frame_365023278606000.jpg,car,0.94
detected_frames\frame_365023290642300.jpg,car,0.86
detected_frames\frame_365023300105800.jpg,car,0.39
detected_frames\frame_365023366800400.jpg,car,0.92
detected_frames\frame_365023373468300.jpg,car,0.89
detected_frames\frame_365023384193300.jpg,car,0.55
detected_frames\frame_365023453920300.jpg,car,0.95
detected_frames\frame_365023466163000.jpg,car,0.84
detected_frames\frame_365023478922400.jpg,car,0.37
detected_frames\frame_365023563280800.jpg,car,0.95
detected_frames\frame_365023575105900.jpg,car,0.92
detected_frames\frame_365023586900200.jpg,car,0.49
detected_frames\frame_365023658295300.jpg,car,0.96
detected_frames\frame_365023670435600.jpg,car,0.82
detected_frames\frame_365023682347400.jpg,car,0.70
detected_frames\frame_365023747221300.jpg,car,0.96
detected_frames\frame_365023753808000.jpg,car,0.81
detected_frames\frame_365023761433900.jpg,car,0.56
detected_frames\frame_365023831105600.jpg,car,0.78
detected_frames\frame_365023843182400.jpg,car,0.75
detected_frames\frame_365023910811100.jpg,car,0.89
detected_frames\frame_365023922747400.jpg,car,0.86
detected_frames\frame_365023987950800.jpg,car,0.84
detected_frames\frame_365024054079800.jpg,car,0.90
detected_frames\frame_365024124720400.jpg,car,0.86
detected_frames\frame_365024187140500.jpg,car,0.88
detected_frames\frame_365024248751400.jpg,car,0.93
detected_frames\frame_365024314935000.jpg,car,0.92
detected_frames\frame_365024379965900.jpg,car,0.92
detected_frames\frame_365024440126000.jpg,car,0.90
detected_frames\frame_365024510279200.jpg,car,0.91
detected_frames\frame_365024590447300.jpg,car,0.84
detected_frames\frame_365024665972300.jpg,car,0.91
detected_frames\frame_365024739719300.jpg,car,0.87
detected_frames\frame_365024816339400.jpg,car,0.92
detected_frames\frame_365024891745100.jpg,car,0.91
detected_frames\frame_365024972384800.jpg,car,0.90
detected_frames\frame_365025050089200.jpg,car,0.92
detected_frames\frame_365025129336200.jpg,car,0.93
detected_frames\frame_365025199611700.jpg,car,0.91
detected_frames\frame_365025273223500.jpg,car,0.91
detected_frames\frame_365074084048300.jpg,car,0.65
detected_frames\frame_365074096298500.jpg,lcv,0.34
detected_frames\frame_365074204574900.jpg,car,0.43
detected_frames\frame_365074219662900.jpg,lcv,0.26
detected_frames\frame_365074294246200.jpg,car,0.81
detected_frames\frame_365074374327100.jpg,lcv,0.56
detected_frames\frame_365074387019700.jpg,car,0.29
detected_frames\frame_365074461357700.jpg,car,0.64
detected_frames\frame_365074473294300.jpg,lcv,0.28
detected_frames\frame_365074541391900.jpg,car,0.46
detected_frames\frame_365074553450600.jpg,lcv,0.33
detected_frames\frame_365074623315500.jpg,car,0.92
detected_frames\frame_365074693144100.jpg,car,0.94
detected_frames\frame_365074705123500.jpg,truck,0.29
detected_frames\frame_365074780005800.jpg,car,0.80
detected_frames\frame_365074852745900.jpg,car,0.93
detected_frames\frame_365074977313200.jpg,truck,0.37
detected_frames\frame_365075108641700.jpg,car,0.28
detected_frames\frame_365075307619600.jpg,car,0.30
detected_frames\frame_365075424896700.jpg,car,0.49
detected_frames\frame_365075502839300.jpg,car,0.65
detected_frames\frame_365075575649500.jpg,car,0.63
detected_frames\frame_365075651901700.jpg,car,0.85
detected_frames\frame_365075725896400.jpg,car,0.90
detected_frames\frame_365075803540300.jpg,car,0.92
detected_frames\frame_365075881363200.jpg,car,0.92
detected_frames\frame_365075970847500.jpg,car,0.87
detected_frames\frame_365076048084600.jpg,car,0.91
detected_frames\frame_365076131102500.jpg,car,0.93
detected_frames\frame_365076201841600.jpg,car,0.89
detected_frames\frame_365076269819700.jpg,car,0.91
detected_frames\frame_365076338098800.jpg,car,0.88
detected_frames\frame_365076403466300.jpg,car,0.89
detected_frames\frame_365076464053500.jpg,car,0.92
detected_frames\frame_365076582258900.jpg,car,0.93
detected_frames\frame_365076695410900.jpg,car,0.92
detected_frames\frame_365076840675400.jpg,car,0.93
detected_frames\frame_365076935169000.jpg,car,0.94
detected_frames\frame_365077031451200.jpg,car,0.96
detected_frames\frame_365077250099900.jpg,car,0.31
detected_frames\frame_365077323693900.jpg,car,0.59
detected_frames\frame_365077396066300.jpg,car,0.90
detected_frames\frame_365077469626400.jpg,car,0.92
detected_frames\frame_365077547944500.jpg,car,0.86
detected_frames\frame_365077626504200.jpg,car,0.89
detected_frames\frame_365077701897600.jpg,car,0.89
detected_frames\frame_365077788738400.jpg,car,0.90
detected_frames\frame_365077864442400.jpg,car,0.92
detected_frames\frame_365077931892700.jpg,car,0.89
detected_frames\frame_365078003555500.jpg,car,0.93
detected_frames\frame_365078074167200.jpg,car,0.92
detected_frames\frame_365078148998200.jpg,car,0.93
detected_frames\frame_365078218493900.jpg,car,0.93
detected_frames\frame_365078283086700.jpg,car,0.94
detected_frames\frame_365078350961700.jpg,car,0.91
detected_frames\frame_365078420100000.jpg,car,0.90
detected_frames\frame_365078490620000.jpg,car,0.86
detected_frames\frame_365078565244000.jpg,car,0.92
detected_frames\frame_365078637243100.jpg,car,0.91
detected_frames\frame_365081345888900.jpg,car,0.38
detected_frames\frame_365081419464500.jpg,car,0.64
detected_frames\frame_365081490880900.jpg,car,0.61
detected_frames\frame_365081561977000.jpg,car,0.66
detected_frames\frame_365081635689800.jpg,car,0.73
detected_frames\frame_365081707940800.jpg,car,0.90
detected_frames\frame_365081781987500.jpg,car,0.83
detected_frames\frame_365081856529600.jpg,car,0.94
detected_frames\frame_365081928603800.jpg,car,0.88
detected_frames\frame_365082005589800.jpg,car,0.89
detected_frames\frame_365082082545600.jpg,car,0.92
detected_frames\frame_365082158666100.jpg,car,0.91
detected_frames\frame_365082219664000.jpg,car,0.90
detected_frames\frame_365082286754500.jpg,car,0.92
detected_frames\frame_365082360666800.jpg,car,0.94
detected_frames\frame_365082432596600.jpg,car,0.93
detected_frames\frame_365082507754700.jpg,car,0.91
detected_frames\frame_365082587303200.jpg,car,0.90
detected_frames\frame_365082663620400.jpg,car,0.90
detected_frames\frame_365082739346900.jpg,car,0.91
detected_frames\frame_365082813821200.jpg,car,0.93
detected_frames\frame_365082887208100.jpg,car,0.92
detected_frames\frame_365082899869100.jpg,car,0.75
detected_frames\frame_365082973887500.jpg,car,0.88
detected_frames\frame_365082986883700.jpg,car,0.72
detected_frames\frame_365083061638200.jpg,car,0.93
detected_frames\frame_365083074461700.jpg,car,0.69
detected_frames\frame_365083163157700.jpg,car,0.84
detected_frames\frame_365083249210200.jpg,car,0.70
detected_frames\frame_365083337590400.jpg,car,0.79
detected_frames\frame_365083412340000.jpg,car,0.84
detected_frames\frame_365083485219200.jpg,car,0.94
detected_frames\frame_365083580261400.jpg,car,0.94
detected_frames\frame_365083666436400.jpg,car,0.94
detected_frames\frame_365083748776500.jpg,car,0.89
detected_frames\frame_365083831171500.jpg,car,0.84
detected_frames\frame_365083907015600.jpg,car,0.87
detected_frames\frame_365083974605800.jpg,car,0.90
detected_frames\frame_365084051955000.jpg,car,0.88
detected_frames\frame_365084123225700.jpg,car,0.87
detected_frames\frame_365084191831100.jpg,car,0.90
detected_frames\frame_365084266676100.jpg,car,0.94
detected_frames\frame_365084335922500.jpg,car,0.91
detected_frames\frame_365084406699900.jpg,car,0.92
detected_frames\frame_365084479316100.jpg,car,0.93
detected_frames\frame_365084586493200.jpg,car,0.92
detected_frames\frame_365084665130900.jpg,car,0.96
detected_frames\frame_365084740753400.jpg,car,0.97
detected_frames\frame_365084816826600.jpg,car,0.94
detected_frames\frame_375832200393900.jpg,bike,0.26
detected_frames\frame_375832323555900.jpg,car,0.29
detected_frames\frame_375832383161500.jpg,car,0.35
detected_frames\frame_375832444571700.jpg,car,0.28
detected_frames\frame_375833833065900.jpg,bike,0.29
detected_frames\frame_375841824267700.jpg,car,0.33
detected_frames\frame_375841924595900.jpg,car,0.30
detected_frames\frame_375841987974800.jpg,car,0.46
detected_frames\frame_375842043927000.jpg,car,0.72
detected_frames\frame_375842093662400.jpg,car,0.51
detected_frames\frame_375842150386900.jpg,car,0.29
detected_frames\frame_375844368077400.jpg,bike,0.28
